College,Year,Games,Wins
Syracuse,2016,37,23
Georgia Tech,2015,31,12
Marquette,2013,35,26
Kansas,2016,37,32
Texas,2017,33,11
Georgetown,2016,33,15
Georgia,2016,34,20
UNLV,2015,32,17
Oregon,2016,37,30
Louisville,2013,40,35
Boston College,2015,32,13
Xavier,2017,38,24
Duke,2015,39,35
Illinois,2015,33,19
Wake Forest,2015,32,13
UCLA,2016,32,15
Arizona,2015,38,34
BYU,2016,36,25
Maryland,2018,31,19
Kentucky,2014,40,29
Florida,2017,36,27
Alabama,2015,33,18
Creighton,2015,33,14
Minnesota,2015,32,17
Wisconsin,2015,40,36
Stanford,2015,37,24
Nevada,2015,29,7
Saint Joseph's,2015,31,13
Colorado,2015,34,16
Texas Tech,2019,38,31
Memphis,2015,32,18
Michigan,2018,40,33
Vanderbilt,2015,34,20
Missouri,2015,31,8
Providence,2019,34,18
Gonzaga,2017,39,37
Utah,2017,30,20
Texas A&M,2015,33,21
New Mexico,2015,31,15
Washington,2015,31,16
Cincinnati,2015,34,23
LSU,2016,33,19
Indiana,2017,34,18
Pepperdine,2015,31,17
Villanova,2016,40,35
Bradley,2015,32,8
Arkansas,2016,32,16
South Carolina,2017,36,26
Temple,2015,37,26
South Florida,2015,31,8
Louisiana Tech,2015,35,26
California,2015,33,18
George Washington,2015,35,22
Eastern Washington,2016,32,16
USC,2015,32,12
DePaul,2015,32,12
Purdue,2019,36,26
Iowa,2017,34,19
West Virginia,2019,36,15
Western Kentucky,2015,30,18
IUPUI,2018,28,11
UAB,2016,32,25
Virginia,2019,38,35
Virginia Tech,2015,33,11
Oklahoma,2016,37,29
Davidson,2016,32,19
VCU,2018,33,18
Saint Mary's,2015,30,20
Baylor,2018,33,19
Butler,2019,33,16
Clemson,2015,31,16
Marshall,2015,30,9
Tulsa,2015,33,23
Notre Dame,2015,38,32
Tennessee,2015,32,16
Richmond,2015,35,21
Hofstra,2015,34,20
College of Charleston,2015,33,9
Oakland,2015,31,14
St. John's,2016,31,7
St. Bonaventure,2015,31,18
UC Santa Barbara,2015,31,17
Lehigh,2015,29,15
Bucknell,2015,33,18
Green Bay,2015,31,22
Wyoming,2016,30,12
Bowling Green,2015,32,21
William & Mary,2015,31,18
Seton Hall,2015,31,16
SMU,2016,30,25
Valparaiso,2016,35,28
Tulane,2015,30,14
UT Arlington,2015,30,15
Dayton,2014,37,26
Auburn,2019,39,30
Belmont,2016,31,19
Nebraska,2015,31,13
Yale,2015,30,20
TCU,2015,33,18
