college,player_count,wins
Nevada,8,7
Clemson,3,16
West Virginia,4,15
South Carolina,2,26
Arkansas,6,16
New Mexico,5,15
BYU,3,25
Western Kentucky,2,18
Auburn,2,30
Bucknell,1,18
St. Bonaventure,1,18
Washington,17,16
Kentucky,44,29
Providence,7,18
Vanderbilt,11,20
UAB,2,25
Georgetown,7,15
St. John's,2,7
Nebraska,1,13
Syracuse,19,23
Cincinnati,4,23
Tennessee,7,16
Davidson,1,19
Oregon,14,30
VCU,2,18
Alabama,5,18
Notre Dame,4,32
Colorado,7,16
Butler,2,16
DePaul,3,12
College of Charleston,3,9
Villanova,11,35
Texas Tech,4,31
Georgia Tech,9,12
Indiana,9,18
Bowling Green,1,21
Texas A&M,6,21
Michigan,12,33
Richmond,1,21
Purdue,8,26
Georgia,7,20
Xavier,7,24
Tulane,1,14
California,8,18
Hofstra,2,20
TCU,1,18
Kansas,27,32
Gonzaga,11,37
SMU,3,25
Louisiana Tech,2,26
Oklahoma,8,29
UT Arlington,1,15
Creighton,4,14
Memphis,12,18
Missouri,8,8
Valparaiso,1,28
George Washington,1,22
Stanford,9,24
USC,10,12
Baylor,7,19
Minnesota,3,17
Arizona,22,34
Pepperdine,1,17
Virginia Tech,3,11
Maryland,12,19
Louisville,13,35
Lehigh,1,15
Boston College,7,13
Wyoming,2,12
UCLA,25,15
Wake Forest,6,13
Marshall,1,9
Temple,2,26
LSU,12,19
Duke,35,35
Florida,14,27
South Florida,2,8
Seton Hall,1,16
Marquette,8,26
Oakland,2,14
Saint Joseph's,4,13
Belmont,1,19
Iowa,3,19
IUPUI,1,11
Wisconsin,5,36
Bradley,1,8
Illinois,6,19
Virginia,9,35
Eastern Washington,2,16
William & Mary,1,18
Utah,4,20
Dayton,2,26
Yale,1,20
UNLV,5,17
Saint Mary's,1,20
UC Santa Barbara,1,17
Green Bay,1,22
Texas,17,11
Tulsa,1,23
